_id,id,category,cost_price,created_at,date,invoice_no,name,notes,qty,sku,supplier,total_cost,unit,item_id,item_name,item_sku,_migrated_at,_migrated_from
"6a89a24b3fb8c43ecce7bf23","in_rep_52_1785854327201","","75","2026-08-04T14:38:54.196Z","04-08-2026","","","Opening stock balance entry from inventory report","5","","Amul Dairy Egra","0","packet","stk_58","Amul Fresh Cream","J058","""2026-08-22T13:49:21.913Z""","""public"".""stock_in"""
"6a89a24b3fb8c43ecce7bf24","in_rep_53_1785854327201","","145","2026-08-04T14:38:54.196Z","04-08-2026","","","Opening stock balance entry from inventory report","1","","Amul Dairy Egra","0","packet","stk_59","Cheese Block / Slice","J059","""2026-08-22T13:49:21.913Z""","""public"".""stock_in"""
"6a89a24b3fb8c43ecce7bf25","in_1785860827603","","0","2026-08-04T16:27:07.604Z","04-08-2026","","","","180","","","0","pcs","stk_47","Kissan Tomato Sauce Pouch","J047","""2026-08-22T13:49:21.913Z""","""public"".""stock_in"""
"6a89a24c3fb8c43ecce7bf26","in_1785860841586","","0","2026-08-04T16:27:21.586Z","04-08-2026","","","","50","","","0","pcs","stk_48","Jaljeera Powder","J048","""2026-08-22T13:49:21.913Z""","""public"".""stock_in"""
"6a89a24c3fb8c43ecce7bf27","in_1785860857242","","0","2026-08-04T16:27:37.242Z","04-08-2026","","","","7","","","0","packet","stk_52","Egg (ডিম)","J052","""2026-08-22T13:49:21.913Z""","""public"".""stock_in"""
"6a89a24c3fb8c43ecce7bf28","in_1785861316346","","0","2026-08-04T16:35:16.346Z","04-08-2026","","","","8","","","0","pcs","stk_59","Cheese Block / Slice","J059","""2026-08-22T13:49:21.913Z""","""public"".""stock_in"""
"6a89a24c3fb8c43ecce7bf29","in_1785867226260","","0","2026-08-04T18:13:46.261Z","04-08-2026","","","","7000","","","0","g","stk_29","Sugar","J029","""2026-08-22T13:49:21.913Z""","""public"".""stock_in"""
"6a89a24c3fb8c43ecce7bf2a","in_1785868870914","","0","2026-08-04T18:41:10.914Z","04-08-2026","","","","20","","","0","kg","stk_75","Potato (আলু)","J075","""2026-08-22T13:49:21.913Z""","""public"".""stock_in"""
"6a89a24c3fb8c43ecce7bf2b","in_1785868903675","","0","2026-08-04T18:41:43.676Z","04-08-2026","","","","30","","","0","kg","stk_76","Onion (পেঁয়াজ)","J076","""2026-08-22T13:49:21.913Z""","""public"".""stock_in"""
"6a89a24c3fb8c43ecce7bf2c","in_1785868940687","","0","2026-08-04T18:42:20.687Z","04-08-2026","","","","4.5","","","0","kg","stk_79","Capsicum","J079","""2026-08-22T13:49:21.913Z""","""public"".""stock_in"""
